,CD141+,CD1C+,IL7R+CCR7-,IL7R+CCR7+
PLCH2,0.343624840650083,0.062427769753066,0.73343826322027,0.253509358514327
PANK4,8.10030351387809,6.69914837937739,7.0308314292836,5.21785252455333
TNFRSF14,23.1824149527211,19.8768084860912,20.0098323728885,15.2991639284614
FAM213B,7.93698742404678,3.7268755067376,3.15317354432831,2.73632744889721
MMEL1,0.883429012260102,0.671166192823431,0.269773559501808,0.577687583309353
MEGF6,0.540918525598633,0.637433144582857,0.552462829978485,0.194138684056184
TPRG1L,11.8934550143439,8.27119675890569,8.80641923606522,4.95329089659297
WRAP73,6.50944654418124,5.93020300400095,4.19358811859444,5.36894373191878
LRRC47,17.7966474566044,14.3817006910548,9.41483438257814,9.83450429690502
CEP104,16.593542431831,16.8628746038185,11.5866990248598,9.84652992430249
DFFB,4.75973926113759,2.55068790449127,2.44514528678686,1.72141943429547
C1orf174,3.18943228602376,3.32324491575567,2.33374417317887,1.24570847499679
NPHP4,2.25866646548406,2.197953427921,1.4964062954184,0.998934354584414
KCNAB2,17.7662504486921,23.7192523597466,10.2651329433781,3.56542239900913
RPL22,518.142687135497,470.848942327831,576.836569265752,506.317828323116
RNF207,12.6425255222402,9.33491558005263,20.9252309259039,27.8340884103587
ICMT,3.60485708312033,2.92424726987779,3.59046080780532,2.7831816640967
GPR153,4.15960451142556,1.20910854855233,13.2103129009548,21.5509931250555
ACOT7,5.8639505917691,2.28478976719431,3.48896888525913,1.90533890231838
TNFRSF25,6.67129863160293,2.66258899399465,5.82292250636775,4.92659737969235
PLEKHG5,20.4473815217234,3.07987522361473,0.842944911897086,5.75152333666284
NOL9,5.57355099175836,4.56810261792631,3.1104599183612,2.97461365398461
ZBTB48,16.6825336636405,15.4694640952161,10.2192536855251,5.84186926351898
KLHL21,2.98235312680009,1.65795889828036,4.4329491523527,1.60891977267146
PHF13,2.23648127444145,2.28549913647042,2.25375618087465,3.80523160010396
THAP3,7.48040373612727,6.63888107218329,5.92103937459603,8.64156718432971
DNAJC11,47.4141400053975,44.4231428496892,30.7553003306681,25.9436006329722
CAMTA1,6.57458453746557,4.18144516187781,5.10339351734719,5.805727215207
VAMP3,12.0802806751583,17.0290553267858,13.1504835852801,8.29332673947365
