Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
TEP1,1157,784,586,303,651
KLHL33,2,0,16,10,34
OSGEP,402,361,449,145,329
APEX1,8535,7694,5427,1927,4320
TMEM55B,407,354,289,162,224
PNP,1174,908,1441,323,1316
RNASE9,0,0,0,0,0
RNASE4,21,41,30,13,41
ANG,2,25,19,4,34
RP11-903H12.5,21,47,30,12,27
EDDM3A,1,1,0,2,2
EDDM3B,0,0,0,2,0
RNASE6,2782,3817,1297,231,1026
RNASE1,12,18,11,52,393
RNASE3,0,0,0,0,0
RNASE2,0,0,2,0,2
METTL17,408,348,258,164,181
NDRG2,2589,2726,818,196,1157
TPPP2,25,11,6,0,21
RNASE13,2,0,2,0,0
ARHGEF40,211,495,695,450,1427
ZNF219,107,96,153,77,152
TMEM253,0,0,0,0,7
HNRNPC,14776,14954,12485,9472,9855
RPGRIP1,49,144,33,17,62
SUPT16H,5845,4289,4242,3014,3424
CHD8,3721,2448,2454,2310,2093
RAB2B,316,289,243,251,206
TOX4,851,821,667,689,589
METTL3,499,411,453,284,449
SALL2,0,7,38,28,66
OR10G2,0,0,1,0,0
TRAV1-2,0,0,3,0,0
TRAV4,0,0,2,0,0
TRAV5,0,0,2,0,1
TRAV12-1,0,0,11,3,0
TRAV8-3,0,0,1,0,0
TRAV13-1,1,0,0,6,0
TRAV12-2,0,0,2,0,0
TRAV8-4,0,0,2,4,2
TRAV13-2,0,0,2,0,0
TRAV14DV4,0,0,4,0,0
TRAV12-3,0,0,2,0,0
TRAV17,0,0,2,2,2
TRAV20,0,0,2,0,0
TRAV21,0,0,4,0,0
TRAV22,0,0,0,0,0
TRAV23DV6,0,0,0,4,0
TRAV25,0,0,2,0,0
TRAV26-1,0,0,2,0,0
TRAV27,0,0,1,0,0
TRAV30,0,0,4,1,0
TRAC,0,7,286,71,39
TRDC,0,2,425,38,4
TRAV38-2DV8,0,0,0,0,0
TRAV39,0,0,0,0,0
TRDV2,0,0,2,0,0
TRDJ1,0,0,28,3,0
TRDJ4,0,0,3,0,0
TRDJ2,0,1,79,9,0
TRDJ3,0,0,62,2,2
TRAJ61,0,0,1,0,0
TRAJ57,0,0,1,1,0
TRAJ50,0,0,1,0,0
TRAJ45,0,1,1,0,0
TRAJ44,0,0,1,0,0
TRAJ39,0,0,1,0,0
TRAJ37,0,0,1,0,0
TRAJ35,0,0,2,0,0
TRAJ32,0,0,1,0,0
TRAJ31,0,0,0,3,0
TRAJ26,0,0,0,0,1
TRAJ24,0,0,4,0,0
TRAJ23,0,0,4,0,0
TRAJ22,0,0,3,0,0
TRAJ19,0,0,2,0,0
TRAJ18,0,0,2,0,0
TRAJ16,0,0,1,0,0
TRAJ14,0,0,1,0,0
TRAJ13,0,0,2,0,0
TRAJ12,0,0,6,0,0
TRAJ11,0,0,0,1,0
TRAJ10,0,0,1,0,0
TRAJ7,0,0,1,0,0
TRAJ6,0,0,1,3,2
TRAJ5,0,0,1,0,0
TRAJ4,0,1,1,0,0
TRAJ3,0,0,3,4,0
TRAJ1,0,0,5,0,0
DAD1,308,390,346,195,271
ABHD4,40,79,111,42,60
OR6J1,0,0,0,0,2
AC243945.1,0,1,2,2,2
OXA1L,1167,1080,759,402,654
SLC7A7,198,188,142,118,164
MRPL52,313,351,367,176,197
MMP14,46,126,110,183,436
LRP10,1396,1186,824,901,824
REM2,19,22,14,8,23
RBM23,1159,1020,864,694,777
PRMT5,268,283,214,80,167
HAUS4,763,769,491,300,456
RP11-298I3.5,401,437,283,166,282
AJUBA,0,4,26,11,9
C14orf93,100,68,70,39,72
PSMB5,197,164,178,115,153
CDH24,0,0,46,4,18
ACIN1,20798,17496,14781,13867,13888
