Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
RP11-848P1.2,6,7,1,0,3
DPRXP4,8,4,0,4,2
RP11-848P1.4,2,2,2,2,0
RP11-848P1.7,2,2,0,0,2
RP11-848P1.9,14,7,11,6,12
RP11-271K11.5,11,12,0,27,16
RP11-848P1.5,32,29,16,21,19
AK4P1,2,0,3,0,0
RN7SL79P,0,0,5,0,0
RP1-41C23.2,130,50,56,195,71
MIR365B,0,0,0,0,2
CTC-542B22.2,20,5,4,1,2
RNA5SP437,0,0,2,0,6
SH3GL1P1,35,50,24,28,48
RP11-640N20.4,4,6,10,2,2
CTD-2095E4.5,2,0,2,0,4
AC090616.2,187,162,99,75,72
ARGFXP2,9,8,8,13,6
CTD-2095E4.3,13,14,9,6,3
CTD-2095E4.4,8,22,5,10,3
RP11-227G15.3,1872,1600,1347,1192,986
RP11-227G15.10,4,0,0,0,0
RP11-227G15.8,0,0,0,7,0
RP11-227G15.12,40,64,54,45,52
RP11-227G15.9,0,0,0,0,1
RP11-466A19.1,4,10,2,0,2
RP11-466A19.4,0,2,0,0,0
RP11-466A19.8,2,1,0,0,0
RP11-466A19.6,0,0,0,0,0
RP11-466A19.7,0,0,0,0,2
RP11-466A19.3,0,0,0,0,0
AC084809.2,94,43,68,19,32
CTC-304I17.6,23,2,0,0,0
RP11-17M24.3,6,0,0,0,0
RP11-1086I4.2,0,0,0,0,0
TLK2P1,74,38,36,38,40
CTC-304I17.2,2,0,0,0,0
CTC-304I17.5,0,0,2,0,0
C17orf102,2,0,0,0,0
RP5-837J1.6,0,0,0,0,2
RP5-837J1.4,0,0,2,0,0
RP11-799D4.4,6,0,6,6,0
RP11-47L3.1,0,0,8,0,0
RP11-686D22.5,2,0,0,2,5
RP11-686D22.4,2,0,0,0,1
RP11-686D22.8,93,92,67,29,62
RP11-686D22.3,22,30,13,2,14
RP11-686D22.7,121,109,79,30,55
RP11-686D22.10,6,4,62,14,3
E2F3P1,0,0,2,0,2
RP11-1094M14.8,0,0,42,10,2
RP11-1094M14.5,0,0,6,0,0
TOMM20P2,0,0,2,0,0
RP11-1094M14.10,0,0,2,0,0
RP11-1094M14.14,0,1,2,0,0
RP11-1094M14.1,2,10,4,2,0
RP11-1094M14.11,16,31,15,16,12
SNORD7,0,0,1,0,0
CTC-507E2.2,12,4,4,4,13
RP1-161P9.5,0,0,0,0,2
AC015849.12,0,2,0,0,0
AC015849.19,27,39,20,24,20
AC015849.13,3,1,0,0,5
AC015849.14,0,0,3,0,3
AC015849.16,2,2,2,0,0
LRRC37A9P,0,0,0,1,0
CTB-186H2.3,0,0,2,92,550
RP11-104J23.2,0,0,0,0,0
AC069363.1,284,313,212,93,125
AC131056.3,272,187,56,70,126
AC131056.5,0,0,13,3,2
AC131056.6,0,0,0,1,0
CH17-260O16.1,8,6,6,2,0
RNA5SP439,0,0,0,0,3
CTB-75G16.1,15,12,16,11,22
CTB-75G16.3,0,0,0,0,0
CTD-3194G12.2,0,0,0,0,4
RP11-445F12.1,0,0,0,0,0
RP11-333J10.3,5,6,10,2,8
CTC-268N12.3,0,0,0,0,0
CTC-268N12.2,11,7,1,8,6
RP11-19G24.1,0,0,0,0,0
HMGB1P24,16,7,13,11,7
RP11-19G24.2,0,0,1,0,2
RP11-378E13.3,0,0,0,1,0
RP11-378E13.4,1,0,0,0,0
CTC-421K24.1,0,1,2,0,0
RP11-697E22.1,0,7,1,3,7
RP11-697E22.2,199,216,138,89,114
YWHAEP7,20,0,5,1,6
CH17-258A22.4,21,6,6,24,11
CH17-431G21.1,180,155,146,174,144
AC124789.1,0,0,0,4,0
MIR4734,4,0,2,4,6
CTB-58E17.1,63,19,29,77,49
CTB-58E17.3,34,12,30,73,30
CTB-58E17.9,248,152,323,374,250
RNA5SP440,0,0,0,4,0
CTB-58E17.5,2,0,2,2,4
SNORA21,18,18,11,1,17
RP1-56K13.2,4,1,1,0,0
MIR6779,0,4,8,0,3
RP1-56K13.3,76,57,53,103,41
CTD-2206N4.4,1,0,2,0,6
RP5-906A24.1,1,2,6,2,30
RP5-906A24.2,5,21,39,7,16
RP11-690G19.4,0,0,1,1,0
CTB-131K11.1,65,26,20,32,20
RP11-390P24.1,6,12,12,5,12
AC087491.2,0,0,0,0,0
RP11-387H17.4,0,0,0,0,0
RARA-AS1,269,322,140,69,121
CTD-2267D19.1,333,309,137,25,151
CTD-2267D19.3,176,110,107,30,94
RPL23AP75,0,0,0,2,0
RP11-58O9.2,0,0,0,0,4
RP5-1028K7.2,0,0,11,4,0
RP5-1028K7.1,2,0,4,8,2
RP11-458J1.1,21,12,31,46,31
AC004231.2,0,1,2,0,0
TBC1D3P7,0,0,0,0,0
AC003958.2,0,0,0,0,0
KRT42P,2,0,2,0,0
RP13-415G19.2,20,8,20,20,6
RP11-156E6.1,40,24,22,20,40
RP11-229E13.4,36,19,28,22,30
RP11-358B23.1,55,54,38,24,33
RP11-358B23.6,4,0,4,0,0
RP11-358B23.5,1,0,0,3,0
AC003104.1,3,2,4,2,0
RP11-358B23.7,6,6,14,3,4
RNU7-97P,0,0,0,1,2
RP11-194N12.2,0,5,0,0,0
RP11-400F19.18,187,238,53,32,128
PTP4A2P1,16,5,4,9,3
RP11-400F19.8,47,33,50,31,31
HSD17B1P1,13,10,15,12,11
RP11-400F19.6,100,96,85,45,76
RP11-400F19.12,5,3,2,8,0
ATP5LP7,0,0,1,0,0
HMGB3P27,0,0,2,0,0
CTD-3193K9.4,0,0,14,4,15
CTD-3193K9.3,8,0,8,4,14
CTD-3193K9.1,1,2,0,6,0
HMGN2P15,0,0,11,30,6
RAMP2-AS1,0,4,19,45,13
MIR6781,3,3,3,4,5
NBR2,23,32,46,10,28
CTD-3199J23.6,15,11,16,7,11
RP11-242D8.1,257,235,289,95,282
RP11-242D8.2,0,1,0,0,1
RP11-242D8.3,0,9,3,4,1
CTD-3014M21.1,42,53,138,33,38
LINC00910,27,29,25,24,35
RNU2-4P,0,0,0,0,0
RP11-392O1.4,0,0,0,1,0
CTC-501O10.1,0,0,0,0,1
RP11-209M4.1,2,0,2,6,0
RP5-905N1.2,6,2,0,0,4
RP11-527L4.5,0,4,0,0,0
FAM215A,2,0,0,0,6
RP11-527L4.6,2,0,0,0,0
ASB16-AS1,63,24,37,39,32
CTB-175E5.7,97,81,87,109,106
MIR6782,3,4,3,7,4
RP5-882C2.2,77,83,77,100,57
RUNDC3A-AS1,7,0,7,14,13
RPL7L1P5,0,1,0,0,0
RN7SL258P,4,0,0,1,0
RP11-764D10.2,2,3,0,0,5
LINC01180,0,0,0,0,0
RP11-1072C15.4,0,0,3,4,4
RP11-1072C15.6,1,2,0,0,0
AC015936.3,0,0,0,0,0
MIR6783,0,0,0,0,0
MIR6784,0,0,2,1,0
AC142472.6,25,36,36,8,32
AC002117.1,66,52,94,68,62
RP13-890H12.2,36,46,33,5,22
CTD-2020K17.1,2055,1973,2582,3670,1718
CTD-2020K17.3,2437,2387,1605,1649,1257
CTD-2020K17.4,409,422,299,254,211
MAP3K14-AS1,596,439,596,1949,582
RNA5SP443,0,0,0,0,4
CTB-39G8.2,4,2,6,11,2
CTB-39G8.3,2164,1574,910,445,990
AC091132.1,25,17,7,13,7
LRRC37A4P,1428,916,977,404,807
RP11-798G7.8,0,0,6,0,7
RP11-798G7.5,2,6,2,4,2
RP11-798G7.6,23,20,18,12,3
RP11-798G7.7,22,12,15,4,13
RP11-798G7.4,5,4,4,4,2
DND1P1,13,12,7,1,5
RPS26P8,0,0,0,2,2
CRHR1-IT1,42,21,46,20,34
AC126544.4,13,2,7,0,9
MAPT-AS1,0,0,0,0,0
RP11-669E14.4,0,0,0,0,0
RP11-669E14.6,19,4,18,2,8
KANSL1-AS1,6,0,0,0,0
RP11-259G18.2,0,0,1,0,0
RP11-259G18.3,0,0,0,0,1
RP11-259G18.1,0,4,6,0,0
RN7SL656P,4,0,0,6,0
NSFP1,41,17,13,22,21
RP11-995C19.2,4,6,5,3,1
RN7SL199P,2,0,0,0,5
FAM215B,57,20,34,23,38
RPS7P11,14,19,8,1,13
RP11-63A1.4,38,30,34,10,22
LRRC37A17P,180,120,130,48,96
RP11-156P1.3,286,217,136,77,190
RN7SL270P,2,0,0,0,0
RP5-867C24.1,8,0,0,0,0
RP5-867C24.4,1,0,5,1,1
RP5-867C24.5,26,30,17,33,21
RP11-290H9.5,0,2,0,0,0
CTD-2026D20.2,0,0,6,0,0
CTD-2026D20.3,51,56,39,18,37
RP11-580I16.2,227,156,162,158,118
RP11-138C9.1,398,307,306,555,367
RP11-6N17.1,0,0,0,1,0
RP11-6N17.2,0,0,0,0,0
RP11-6N17.4,4,0,2,8,0
SP2-AS1,4,3,1,0,1
RP11-6N17.3,6,0,2,0,0
RP11-6N17.9,741,591,584,302,513
RP11-6N17.6,14,13,10,3,11
RP11-6N17.10,371,301,278,167,236
RP5-890E16.2,4,4,0,0,2
RP5-890E16.4,65,50,49,273,104
RP5-890E16.5,4,2,4,7,2
HOXB-AS1,128,100,93,41,91
HOXB-AS3,29,20,22,16,40
HOXB-AS2,0,2,0,0,0
MIR10A,0,0,0,0,0
CTD-2377D24.4,0,0,0,0,0
SUMO2P17,4,4,0,12,5
RP11-501C14.9,1,2,7,2,0
AC091133.1,381,395,284,195,266
FLJ40194,15,6,3,0,8
RP11-1079K10.3,11,8,8,0,8
RP11-81K2.1,15,9,10,0,2
RP11-1079K10.2,26,21,21,6,11
RP11-1079K10.4,100,71,52,24,68
EIF4EP2,5,20,10,2,11
RP11-81K2.2,16,10,13,49,14
RP5-1029K10.2,11,2,6,38,16
RP5-1029K10.4,0,0,2,2,0
RP11-613C6.2,23,10,33,23,33
RP11-613C6.4,6,3,13,0,4
RP11-304F15.7,0,0,7,6,0
RP11-304F15.3,4,4,0,8,6
RP11-304F15.4,1,0,0,0,0
RP5-875H18.9,0,0,0,0,0
RP5-875H18.10,0,0,0,2,0
RP5-875H18.4,0,0,0,0,1
AC002401.1,1877,1403,1023,1789,1026
RP11-893F2.13,2,0,0,0,0
RP11-893F2.14,1,1,0,11,6
TMEM92-AS1,0,0,0,0,0
RP11-893F2.18,2,0,4,0,2
RP1-117B12.4,109,93,85,69,33
MRPS21P9,1,0,0,0,0
RP11-94C24.13,0,0,0,2,0
RP11-294J22.6,47,56,23,49,22
RP11-294J22.7,1,0,0,0,0
LINC00483,0,0,0,4,0
TOB1-AS1,29,77,19,7,20
RP11-700H6.4,0,0,5,0,0
RP11-700H6.1,1,6,9,0,0
RP11-700H6.2,0,1,1,0,0
RP11-481C4.1,2,4,0,2,0
RP11-481C4.2,23,19,27,14,27
RP11-421E14.2,3,0,7,14,0
RP11-1018N14.4,0,0,2,0,0
RP11-1018N14.2,0,0,3,0,3
RPL7P48,2,0,0,0,0
CTB-43I4.1,0,0,0,0,0
MTCO1P40,1,2,0,2,10
RP11-146P2.1,0,0,0,0,0
RPS2P48,2,0,0,0,0
RP11-372K20.1,0,0,0,0,0
RN7SKP14,0,0,0,0,0
RP11-257O5.2,8,2,14,2,4
RP11-763E3.1,1,0,2,0,2
RP11-670E13.3,1,0,0,0,0
RP11-670E13.5,33,26,13,9,17
RP11-670E13.6,0,0,4,0,0
RP5-1107A17.3,0,0,2,0,0
RP5-1107A17.2,0,0,1,0,0
RP5-1107A17.4,3,4,0,0,2
RNF126P1,0,0,0,0,0
RP11-166P13.3,19,14,40,0,10
RP11-166P13.4,16,6,0,4,10
RP11-426D19.1,16,14,30,4,36
RP11-226M10.3,2,0,0,0,0
RP11-118E18.2,0,0,0,0,0
RP11-118E18.4,2,0,1,0,0
RN7SL449P,0,0,0,2,0
RP11-60A24.3,0,1,2,2,0
RP11-159D12.3,4,15,8,8,18
RP11-159D12.2,100,49,93,62,92
RP11-159D12.6,1724,1469,1234,887,1004
RP11-159D12.10,0,0,2,0,0
RP11-159D12.8,10,6,22,2,25
MSX2P1,0,0,4,2,2
RP11-506H21.5,1,2,4,0,4
TSPOAP1-AS1,565,514,392,321,263
MIR142,1913,922,938,533,538
MIR4736,2,0,2,0,0
SETP3,6,1,0,0,1
SEPT4-AS1,12,7,7,3,8
CTD-2200P10.1,4,0,0,2,0
RP11-579O24.3,0,2,0,2,0
AC099850.1,85,41,81,55,33
RNU2-58P,0,0,2,0,0
SPDYE22P,0,0,0,0,3
CTD-2510F5.4,14,6,11,4,4
RP11-567L7.5,11,1,8,3,10
RP11-758H9.2,8,8,2,4,4
RNU6-450P,0,1,2,0,0
TBC1D3P1-DHX40P1,37,42,24,21,15
RP11-178C3.2,22,6,27,29,4
DHX40P1,0,0,0,0,2
TBC1D3P1,0,0,1,2,0
RP11-178C3.8,0,0,0,0,3
MIR4737,18,2,5,6,6
RP11-178C3.6,8,0,8,0,0
CTD-2319I12.2,543,285,423,893,381
WFDC21P,824,413,654,1463,595
CTD-2319I12.10,0,28,0,4,4
CTD-2319I12.3,0,3,0,1,0
CTD-2319I12.4,0,3,0,0,4
RP11-3K24.1,9,6,3,0,1
RP11-3K24.3,0,0,0,0,0
RPL12P38,15,6,6,2,12
RP11-15E18.1,2,0,3,10,4
RP11-15E18.4,0,0,0,0,0
KRT18P61,0,0,0,0,0
RN7SL448P,0,0,0,0,1
RP11-264B14.1,61,63,50,38,29
RP11-264B14.2,41,30,24,10,24
RPL23AP74,59,50,34,24,33
RP11-136H19.1,0,3,0,2,0
RP11-332H18.7,0,0,0,0,0
RP11-332H18.5,0,0,3,0,3
RP11-332H18.3,2,0,0,0,6
TBX2-AS1,0,0,2,0,0
RP11-342K2.1,17,16,4,0,10
RN7SL800P,2,0,0,0,0
POLRMTP1,0,0,2,2,0
RP11-51L5.3,0,0,0,0,0
TBC1D3P2,0,0,0,0,0
RP11-51L5.5,2,0,0,0,0
RNU7-52P,0,0,0,0,0
RP11-464D20.2,0,1,0,0,0
RP11-464D20.6,0,0,2,0,0
CTD-3035K23.6,2,2,1,3,2
CTD-3035K23.7,4,0,14,2,0
CTD-3035K23.3,59,5,63,24,12
RNU6-446P,1,0,1,0,0
RP11-453A12.1,0,0,0,0,4
RP11-180P8.1,0,0,0,0,0
RP11-180P8.3,26,4,16,0,0
RP11-556O9.4,0,0,0,0,0
RP11-556O9.3,0,0,0,0,2
AC037445.1,10,2,4,5,1
RP11-269G24.2,0,0,0,0,0
RP11-269G24.3,1,0,0,0,0
RP11-269G24.7,0,1,0,0,0
ACE3P,0,0,0,0,0
EEF1DP7,21,17,8,9,4
RP11-51F16.1,91,63,44,4,19
TCAM1P,0,0,0,0,0
PRR29-AS1,0,0,0,12,27
SNHG25,3,10,15,12,7
SNORD104,6,10,23,12,9
SNORA50,0,0,0,0,7
AC138744.2,4,5,0,5,7
RP11-87N3.6,0,0,2,0,0
MINOS1P2,0,0,0,0,6
RP13-104F24.2,1462,1457,650,202,656
RP13-104F24.1,581,614,271,80,257
RP13-104F24.3,106,105,66,5,23
RP11-927P21.5,570,532,224,91,285
RP11-927P21.4,48,28,22,19,26
PLEKHM1P1,2807,2239,1165,440,1227
MIR6080,13,19,5,1,0
RNU7-115P,0,0,0,6,0
RP11-927P21.8,0,0,0,2,0
RP11-927P21.9,0,0,0,0,1
RP11-927P21.1,3,4,3,3,4
RP11-927P21.2,6,7,11,2,2
RP11-583F2.1,9,3,7,0,5
RP11-583F2.7,2,0,4,2,4
RP11-927P21.11,0,0,0,0,4
RP11-583F2.6,0,0,1,0,0
SLC16A6P1,4,2,15,5,13
AMZ2P1,230,296,143,104,163
RP11-583F2.5,2,2,0,2,2
RN7SL735P,2,0,0,0,0
RNU6-928P,1,0,6,0,0
AC006947.1,0,0,1,0,0
RNA5SP446,0,0,0,0,0
RP11-401F2.4,0,0,1,0,0
RPL36AP48,0,0,0,0,0
RP11-401F2.3,48,46,50,36,29
RP11-360N9.2,10,0,0,4,0
RP11-360N9.3,0,0,4,0,1
SNORA38B,0,0,0,0,0
RP11-855A2.3,16,8,9,11,20
RP11-855A2.1,2,6,2,2,6
RP11-855A2.2,69,56,74,49,72
RN7SL622P,0,1,0,0,0
AC145343.2,1,0,0,0,0
LINC00674,60,39,48,23,34
LRRC37A16P,289,245,252,259,294
RP11-147L13.11,297,286,283,210,305
RP11-147L13.12,14,24,18,9,29
RP11-147L13.13,152,112,174,98,162
SH3GL1P3,52,37,43,26,46
RP11-147L13.7,1,2,1,0,4
RP11-147L13.14,0,3,0,1,1
RP11-147L13.8,1,0,2,0,2
LOC440461,0,0,1,4,0
RP11-147L13.15,234,347,348,355,186
RP11-147L13.2,70,63,40,47,72
RP11-120M18.2,9731,7925,5467,4453,4543
MIR635,0,1,3,2,1
RP11-120M18.5,0,0,0,2,0
LINC01482,0,0,5,4,6
RP11-118B18.3,0,0,0,0,3
ABCA9-AS1,0,0,0,0,2
LOC100421166,0,0,0,0,2
SNRPGP4,0,1,4,0,0
RP1-193H18.3,4,0,0,0,0
RP1-193H18.2,2,2,7,0,8
LINC01483,0,0,2,0,0
KCNJ2-AS1,20,2,0,0,0
MYL6P5,0,2,0,4,0
AC005152.3,0,0,2,0,0
SOX9-AS1,0,0,3,0,1
LINC00511,0,5,12,0,0
RN7SKP180,0,0,4,0,1
RP11-171G2.1,0,0,0,0,0
RP11-143K11.5,12,9,12,16,31
RP11-143K11.7,16,16,36,7,15
RP11-661C3.2,1,0,1,1,0
RP11-449L23.2,0,0,0,0,0
RP11-277J6.2,0,0,0,0,0
CTD-2532D12.4,0,3,0,0,0
MGC16275,167,171,91,490,142
CTD-2514K5.4,16,20,29,68,21
RP11-647F2.2,0,1,0,0,1
AC079325.5,5,0,2,0,1
AC079325.6,538,543,110,20,160
C17orf77,5,2,1,0,0
CTD-2006K23.1,1127,821,265,14,272
CTD-2006K23.2,4,8,8,3,0
RP11-452I5.2,146,105,243,69,115
HID1-AS1,0,0,0,0,4
RP11-1112G13.3,1,0,0,0,0
RP11-649A18.3,416,389,324,188,250
RP11-649A18.5,3,1,0,0,1
RP11-649A18.4,16,7,18,13,8
RP11-649A18.12,82,88,48,40,53
AC011933.2,8,11,6,6,10
RP11-16C1.2,0,0,4,0,0
RP11-16C1.1,11,22,4,0,7
RP11-474I11.8,1,0,0,0,0
RP11-474I11.7,0,0,0,2,1
RP11-552F3.4,91,122,92,37,122
RP11-552F3.9,17,4,9,0,12
RP11-552F3.10,33,20,19,13,20
RP11-552F3.13,3,0,1,0,0
RP11-449J21.3,26,15,34,14,27
MIR6868,0,3,1,0,0
RP11-449J21.5,0,0,17,0,4
ATF4P3,8,15,6,8,8
RP11-794C22.2,0,0,1,0,0
RPL7P49,4,1,2,1,1
RP11-666A8.8,5,0,31,0,5
RP11-666A8.7,0,0,2,0,0
SNHG16,253,224,236,105,279
SNORD1C,1,0,1,0,2
SNORD1A,0,1,0,0,0
RP11-666A8.9,2,0,0,0,5
RP11-318A15.2,0,2,3,0,3
RP11-318A15.8,0,0,0,2,0
RNU6-97P,1,0,2,1,0
CTD-2246P4.1,0,0,0,0,2
RP11-87G24.3,0,0,7,0,2
RP11-87G24.6,0,0,0,0,2
RP11-87G24.2,0,0,2,0,1
SNHG20,106,63,84,40,59
RNU4-47P,1,8,0,0,4
CYCSP40,1,5,1,0,0
RP11-936I5.1,2,2,4,6,8
RP11-75C10.6,18,9,9,2,18
RP11-75C10.7,230,106,83,2,74
RP11-75C10.9,218,99,65,3,79
RP11-13K12.1,12,6,6,0,4
FLJ45079,0,2,0,3,1
RP11-637C24.5,0,0,0,0,0
TNRC6C-AS1,107,115,157,51,50
EIF5AP2,26,0,36,150,16
RP11-219G17.4,0,0,10,0,0
AC061992.2,5,13,4,13,3
RP11-806H10.4,2,4,4,2,8
DNAH17-AS1,0,0,0,0,4
CTD-2357A8.3,18,2,8,12,3
CTD-2357A8.2,21,15,18,28,14
RNU6-638P,2,0,2,6,5
RPL9P29,4,3,2,1,7
RP11-323N12.5,23,28,16,3,33
CTD-2373H9.3,4,0,0,0,1
CTD-2373H9.5,1,0,0,0,2
C1QTNF1-AS1,0,0,0,6,6
HP09025,2,0,4,0,0
RP11-353N14.2,7,0,1,8,1
RP11-353N14.5,0,0,0,0,0
RP11-353N14.7,7,2,1,0,1
CTD-2529O21.1,0,0,0,4,0
MIR1268B,0,0,0,0,0
RP11-334C17.3,2,0,4,4,0
RP11-334C17.5,114,150,125,46,71
CTD-2047H16.2,8,9,21,26,5
CTD-2047H16.5,20,13,17,56,21
CTD-2047H16.3,54,37,42,95,40
CTD-2047H16.4,282,223,217,639,249
MIR4730,0,1,0,0,0
CTD-2526A2.2,0,0,2,0,0
RPL31P7,0,0,4,0,0
RP11-28G8.1,9,2,6,3,20
CTD-2561B21.4,57,31,31,28,26
CTD-2561B21.3,12,12,14,8,10
CTD-2561B21.5,8,2,8,2,92
RPL12P37,0,0,0,0,0
CTD-2561B21.7,10,10,2,9,8
CTD-2561B21.8,8,1,0,0,0
CTD-2561B21.11,0,4,1,0,0
CTD-2561B21.10,0,0,0,0,0
BAIAP2-AS1,230,365,115,36,235
MIR657,0,0,0,0,1
RP11-149I9.2,0,0,1,1,0
RP11-455O6.2,88,67,43,33,32
AC027601.1,281,175,106,116,123
RP11-455O6.8,293,325,351,178,200
RP11-455O6.5,0,0,2,0,0
LINC00482,0,1,0,6,1
RP11-1055B8.9,2,0,2,0,0
RP11-1055B8.3,0,2,0,1,0
RP11-1055B8.10,0,3,2,0,0
RP11-1055B8.4,16,20,19,17,5
RP11-1055B8.1,13,21,2,22,20
MIR4740,0,1,0,0,1
MIR3186,0,1,0,0,1
RP11-1055B8.8,10,3,8,2,23
RP13-766D20.4,8,1,0,0,0
RP13-766D20.1,0,0,0,4,0
RP13-766D20.2,4,3,2,2,0
MIR6786,0,0,0,3,0
RP13-1032I1.11,2,1,0,4,2
RP13-1032I1.7,28,62,68,18,50
RP11-498C9.2,101,95,106,66,121
RP11-498C9.4,0,0,6,1,5
RP11-498C9.3,351,392,271,261,223
RP11-498C9.15,6,2,6,4,0
RP11-498C9.16,2,0,1,0,0
RP11-498C9.12,184,182,149,241,133
MAFG-AS1,0,0,2,0,0
RP11-498C9.13,0,0,0,4,0
RP11-1182P23.5,0,4,0,0,0
RP13-650J16.1,4,1,2,0,0
RP11-1376P16.2,63,52,57,46,68
RP11-1376P16.1,0,0,0,0,0
RP13-516M14.2,0,5,2,0,0
RP13-516M14.10,96,115,111,92,42
RP13-516M14.8,260,264,271,265,152
RP13-516M14.4,32,36,23,15,30
RP13-516M14.1,172,197,187,99,108
RP13-20L14.1,0,0,0,0,0
RP13-20L14.4,0,0,0,0,1
HEXDC-IT1,17,27,43,17,26
RP13-20L14.6,75,71,64,25,58
RP13-20L14.10,192,73,108,116,93
RP13-991F5.2,0,0,1,0,0
NARF-IT1,64,57,40,40,75
RP13-638C3.6,2,0,0,3,0
RP13-638C3.2,4,7,0,7,0
RP13-638C3.3,4,1,1,0,0
RP13-638C3.4,128,63,58,23,75
RP13-638C3.5,6,0,0,2,0
MIR4525,0,0,1,0,0
RP11-388C12.5,0,4,1,0,4
RP11-567O16.1,0,0,0,0,0
RP11-497H17.1,2,2,0,2,3
RP11-1197K16.2,14,7,4,0,0
AC144831.3,1,2,0,0,0
AC144831.1,39,46,28,12,14
AC139099.7,2,0,0,0,0
AC139099.4,2,8,0,0,0
AC139099.6,1,5,1,2,0
AC139099.5,0,2,2,1,0
RPL23AP87,2,6,4,2,10
ROCK1P1,20,15,20,16,8
MIR8078,0,0,0,3,0
RP11-705O1.8,4,2,4,4,0
TYMSOS,14,9,25,19,52
RP11-806L2.6,6,8,10,4,38
RP11-769O8.1,0,0,7,3,14
RP11-769O8.3,0,0,0,0,0
RP11-672L10.6,0,0,0,0,0
RP11-672L10.3,0,0,1,4,0
RP11-689C9.1,0,2,4,0,0
RP11-78F17.1,1,2,0,0,0
LINC00470,1,1,0,0,0
RP11-476K15.1,0,0,0,0,1
RP11-715F3.2,0,1,0,0,1
CBX3P2,14,15,14,3,23
RP11-703M24.5,386,194,216,190,163
RP11-737O24.5,51,59,26,56,39
RP11-737O24.3,6,19,29,15,6
RP11-737O24.2,145,89,130,227,82
RP11-737O24.1,2,2,2,0,0
RP13-270P17.2,268,122,157,78,42
RP13-270P17.3,135,69,78,38,15
RP13-270P17.1,6699,5103,3923,2160,2634
GAPLINC,0,0,0,2,2
RP11-710M11.1,2,0,0,0,0
DLGAP1-AS1,13,17,29,98,39
DLGAP1-AS2,2,2,12,4,7
RP11-874J12.4,0,0,0,0,0
DLGAP1-AS3,0,2,0,0,0
DLGAP1-AS5,0,0,0,0,0
RP11-172F10.1,0,0,1,0,0
RP11-835E18.5,31,19,28,18,24
LINC00526,57,44,51,39,45
LINC00667,663,558,522,506,464
RP11-835E18.4,20,9,3,10,5
CTD-3096M3.2,5,10,0,0,1
RP11-286N3.1,1,4,0,1,0
RP11-286N3.2,0,1,0,1,2
RP11-793A3.1,1,0,0,3,0
RP11-793A3.2,0,0,0,0,0
L3MBTL4-AS1,0,0,0,14,0
RP11-637N19.1,0,0,0,6,0
RPL6P27,359,349,304,202,218
RN7SL282P,0,0,0,0,0
RP11-91I8.3,0,1,1,0,2
RP11-146G7.2,0,0,0,2,19
RP11-76K13.3,0,0,0,1,0
SLC25A51P2,0,0,0,0,0
RP11-789C17.1,0,0,0,0,2
RP11-789C17.5,0,0,0,0,0
THEMIS3P,40,13,8,0,16
RP11-661O13.1,223,168,181,196,166
RP11-674N23.4,0,2,2,0,0
RPS4XP19,0,0,0,0,0
RP11-21J18.1,2038,1426,1261,1573,986
RP11-143J12.3,39,38,10,38,35
NDUFV2-AS1,41,28,23,24,18
RP11-888D10.4,10,4,8,10,0
RP11-888D10.3,0,0,4,0,0
RP11-61L19.2,4,0,0,1,0
RP11-61L19.1,0,3,0,2,0
RNU2-27P,0,0,5,1,0
RP11-61L19.3,0,2,2,2,0
RP11-881L2.1,3,0,0,0,0
RP11-692N5.2,24,12,8,4,8
ZNF415P1,1,8,3,8,10
RN7SL862P,14,4,2,12,11
RNA5SP449,0,4,1,0,3
PIGPP4,0,0,0,1,0
RP11-474N24.6,0,0,3,4,0
RNA5SP450,1,1,0,0,4
RP11-883A18.3,0,0,0,0,0
RP11-856M7.6,2,0,0,0,0
PMM2P1,0,0,0,0,0
RP11-856M7.2,0,0,0,22,2
RP11-21G15.1,0,0,0,6,0
RP11-513M1.1,0,0,0,2,0
NPIPB1P,9,3,3,6,1
RP11-677O4.6,0,2,0,2,0
RP11-78A19.3,1299,1174,882,501,760
RP11-78A19.4,8,0,0,10,2
RP11-820I16.4,4,7,7,0,10
RP11-820I16.1,2,0,0,0,0
RP11-703I16.1,2,1,0,0,1
RP11-703I16.3,0,0,0,0,2
AP002414.1,0,2,0,0,0
RP11-815J4.5,0,0,2,0,0
SDHDP1,0,0,0,0,0
RP11-64C12.7,1,0,0,0,0
RP11-64C12.3,0,0,1,0,0
RP11-64C12.6,0,0,0,0,0
RP11-861E21.1,0,0,0,0,0
RP11-861E21.2,9,10,5,2,16
RP11-861E21.3,0,0,0,0,2
RP11-973H7.3,4,0,0,0,0
RP11-973H7.4,0,0,0,1,0
RP11-973H7.1,2,2,11,2,0
STK25P1,2,0,0,0,0
EIF4A2P1,0,0,2,2,2
RP11-773H22.4,10,14,12,22,18
C18orf15,0,4,4,0,0
RP11-756J15.2,0,0,0,6,0
RP11-691H4.3,9,0,0,0,0
LDLRAD4-AS1,4,1,2,2,4
RP11-691H4.4,9,14,4,15,8
RP11-53B2.1,10,4,18,4,6
RP11-53B2.2,26,18,22,24,21
RP11-53B2.5,9,2,4,2,0
RP11-53B2.3,9,4,10,4,14
RP11-53B2.6,7,0,3,0,6
RP11-53B2.4,8,6,5,4,6
MIR4526,1,6,0,0,2
