,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
EPOR,14,12,10,4,2,4,11,36
RGL3,3,0,0,0,0,12,0,12
PRKCSH,3064,4857,3863,2898,2838,2212,1859,7300
ELAVL3,0,0,0,0,4,0,0,2
ZNF653,62,105,96,63,73,46,29,226
ECSIT,130,177,153,118,50,57,53,193
CNN1,15,8,0,6,0,6,0,0
ELOF1,79,90,82,74,47,38,12,122
ZNF627,97,97,119,68,121,63,33,216
ACP5,120,187,245,79,130,88,39,260
ZNF823,30,25,68,36,19,26,5,46
ZNF441,41,22,45,24,24,33,6,74
ZNF491,0,0,5,0,0,0,1,11
ZNF440,54,68,72,44,76,43,44,157
ZNF439,201,222,299,178,93,134,75,360
ZNF69,9,10,15,8,8,2,0,25
ZNF700,269,383,458,301,253,247,127,622
ZNF763,47,45,40,24,25,14,25,61
ZNF433,131,113,109,128,110,58,81,166
ZNF878,6,7,7,6,3,21,7,32
ZNF844,127,104,169,62,82,87,45,291
ZNF20,43,19,45,26,32,39,13,91
ZNF625-ZNF20,53,30,48,36,31,47,18,112
ZNF625,18,16,9,17,7,11,12,28
ZNF136,123,117,156,102,260,272,150,513
ZNF44,240,238,318,237,281,333,197,743
ZNF563,13,7,8,10,18,32,24,61
ZNF442,46,28,27,7,37,38,40,117
ZNF799,59,69,78,39,32,42,29,100
ZNF443,18,31,36,17,32,14,0,56
ZNF709,32,25,32,8,18,11,14,92
ZNF564,77,80,80,50,71,57,25,172
ZNF490,15,36,61,33,34,41,9,107
ZNF791,382,545,440,301,203,290,170,938
MAN2B1,2356,4172,3440,2650,2178,1608,1415,5168
WDR83,420,420,384,316,298,273,225,1015
WDR83OS,454,448,378,295,266,227,213,965
DHPS,736,1223,941,634,597,628,531,1914
FBXW9,3,11,6,18,3,11,8,15
TNPO2,142,280,307,197,330,360,203,910
BEST2,0,0,1,0,0,0,0,0
HOOK2,3508,4160,3470,3293,2199,2012,1986,4870
JUNB,9454,11454,9448,8105,5613,4827,4573,13842
PRDX2,109,163,133,84,111,45,68,375
RNASEH2A,144,99,121,89,55,65,41,150
RTBDN,0,0,2,0,0,0,0,0
MAST1,0,1,0,2,0,3,3,7
DNASE2,33,29,35,29,39,69,44,180
KLF1,0,0,0,0,0,0,1,4
GCDH,137,152,160,120,92,91,81,325
SYCE2,25,9,5,14,6,6,8,16
FARSA,467,536,409,326,224,225,171,931
CALR,16032,17072,14706,11854,13131,15093,10984,43511
RAD23A,1356,1592,1354,1014,1134,875,835,3024
GADD45GIP1,960,1085,615,950,599,508,558,1418
DAND5,0,0,0,0,0,0,0,0
NFIX,63,88,31,71,47,47,50,104
LYL1,216,208,144,113,30,17,32,151
TRMT1,411,354,373,271,230,149,159,699
NACC1,381,401,451,337,367,318,193,945
STX10,479,579,617,433,269,208,156,638
IER2,6071,5239,6196,4717,4792,5576,4156,12274
CACNA1A,19,19,5,15,11,16,24,29
MRI1,174,143,207,110,54,101,43,267
C19orf53,608,813,488,589,566,563,610,1471
ZSWIM4,225,213,196,230,193,266,172,636
NANOS3,16,11,12,11,5,9,11,22
CC2D1A,399,585,614,371,300,224,162,788
PODNL1,1,7,9,0,10,8,4,15
DCAF15,100,195,207,174,213,122,91,289
RFX1,68,121,143,55,63,39,23,144
RLN3,0,5,5,10,0,0,0,0
IL27RA,280,347,450,322,302,308,138,604
PALM3,5,0,2,0,1,0,6,13
MIR1199,10,3,0,0,3,3,0,30
C19orf67,0,0,0,0,0,2,0,10
SAMD1,259,294,285,282,281,266,203,762
PRKACA,1000,933,803,666,456,346,281,1291
ASF1B,10,7,13,4,11,14,0,25
ADGRL1,237,226,250,254,455,428,372,883
ADGRE5,4926,7354,6946,3827,2843,1729,1815,11486
DDX39A,2168,2845,3053,1656,1393,1203,1127,5653
PKN1,1402,1789,1540,1325,1001,816,735,2687
PTGER1,0,0,0,0,0,0,0,0
GIPC1,124,88,108,72,76,61,57,197
DNAJB1,19376,16274,16580,6477,7041,5852,5456,25372
TECR,300,229,214,166,78,88,82,295
NDUFB7,156,259,130,206,123,143,165,341
CLEC17A,142,184,202,65,77,15,64,332
ADGRE3,86,111,99,43,40,5,35,156
ZNF333,653,822,836,537,341,297,251,928
ADGRE2,1821,2467,2905,1619,1225,683,436,2571
OR7A5,0,1,0,0,0,0,0,0
SLC1A6,0,0,1,0,0,0,0,0
SYDE1,7,15,5,6,4,0,0,11
ILVBL,147,150,178,93,73,73,39,275
NOTCH3,10,4,3,17,9,33,0,11
EPHX3,4,4,12,0,0,12,6,0
BRD4,2759,3816,3916,2649,3105,3629,2443,10527
AKAP8,1237,1868,1813,1348,1343,1371,813,3949
AKAP8L,1750,2184,1915,1626,1586,1355,1055,3899
WIZ,174,217,204,137,134,141,82,386
RASAL3,482,875,671,327,333,148,137,1288
PGLYRP2,0,0,2,0,0,2,0,0
CYP4F22,0,0,0,0,0,0,0,15
CYP4F3,0,0,8,0,0,0,0,0
CYP4F12,0,0,0,0,0,0,0,0
CYP4F2,0,0,0,0,0,0,0,0
CYP4F11,0,0,0,0,0,0,4,0
TPM4,14369,18101,15575,15258,15143,12413,8658,30066
RAB8A,2075,2670,2483,1953,2241,2023,1424,5487
HSH2D,662,660,785,668,837,625,423,1175
CIB3,0,2,0,0,28,13,1,30
FAM32A,796,973,717,711,559,595,464,1842
AP1M1,526,712,678,707,554,569,311,1169
KLF2,1483,1351,810,972,389,462,561,1303
EPS15L1,347,551,547,288,295,309,211,1030
